iter	Passed	Remaining
0	9	9933
1	11	5573
2	11	3911
3	12	3074
4	12	2582
5	13	2246
6	14	2000
7	14	1816
8	15	1674
9	15	1561
10	16	1469
11	16	1396
12	17	1331
13	18	1276
14	18	1237
15	19	1196
16	20	1162
17	21	1152
18	22	1156
19	23	1128
20	23	1101
21	24	1078
22	24	1056
23	25	1035
24	26	1017
25	26	999
26	27	984
27	27	970
28	28	957
29	29	945
30	29	934
31	30	926
32	31	918
33	31	909
34	32	899
35	33	889
36	33	880
37	34	880
38	35	874
39	36	868
40	36	860
41	37	852
42	37	844
43	38	837
44	39	830
45	39	824
46	40	818
47	40	812
48	41	807
49	42	802
50	42	797
51	44	810
52	45	808
53	45	804
54	46	801
55	47	798
56	48	796
57	48	792
58	49	789
59	50	785
60	50	782
61	51	778
62	52	776
63	53	775
64	53	772
65	54	768
66	55	766
67	55	763
68	56	762
69	57	761
70	58	759
71	58	758
72	59	756
73	60	753
74	60	751
75	61	749
76	62	748
77	63	747
78	63	744
79	64	741
80	65	738
81	65	734
82	65	728
83	66	725
84	67	723
85	67	721
86	68	719
87	69	718
88	70	716
89	70	714
90	71	713
91	72	712
92	72	710
93	73	709
94	74	707
95	74	705
96	75	705
97	76	704
98	77	702
99	77	700
100	78	697
101	78	695
102	79	692
103	80	690
104	80	688
105	81	686
106	82	684
107	82	682
108	83	682
109	84	680
110	84	679
111	85	677
112	86	675
113	86	674
114	87	672
115	88	671
116	88	668
117	89	668
118	90	667
119	90	666
120	91	665
121	92	662
122	92	660
123	93	658
124	93	656
125	94	655
126	94	652
127	95	651
128	96	651
129	97	650
130	97	648
131	98	647
132	99	646
133	99	645
134	100	644
135	101	643
136	101	641
137	102	640
138	103	640
139	104	639
140	104	639
141	105	637
142	106	636
143	106	634
144	107	633
145	108	632
146	108	631
147	109	630
148	110	629
149	110	628
150	111	628
151	112	627
152	113	626
153	113	625
154	114	624
155	115	623
156	115	622
157	116	620
158	117	621
159	118	620
160	118	618
161	119	616
162	119	615
163	120	614
164	121	612
165	121	611
166	122	610
167	122	608
168	123	607
169	124	606
170	124	605
171	125	604
172	126	603
173	127	602
174	127	602
175	128	600
176	128	599
177	129	598
178	130	597
179	131	597
180	131	596
181	132	595
182	133	594
183	133	593
184	134	592
185	135	592
186	136	591
187	136	590
188	137	590
189	138	589
190	139	589
191	139	588
192	140	587
193	141	587
194	141	585
195	142	585
196	143	583
197	143	582
198	144	582
199	145	581
200	146	580
201	146	579
202	147	579
203	148	578
204	148	577
205	149	576
206	150	575
207	150	574
208	151	573
209	152	572
210	152	571
211	153	570
212	154	569
213	154	568
214	155	567
215	156	566
216	156	565
217	157	564
218	157	562
219	158	562
220	159	561
221	160	562
222	161	561
223	161	561
224	162	560
225	163	559
226	164	558
227	164	557
228	165	557
229	166	556
230	166	555
231	167	555
232	168	554
233	168	553
234	169	552
235	170	551
236	170	550
237	171	549
238	172	548
239	173	548
240	174	550
241	175	550
242	176	549
243	176	548
244	177	547
245	178	546
246	178	545
247	179	544
248	180	543
249	180	542
250	181	541
251	182	540
252	182	539
253	183	538
254	183	537
255	184	536
256	185	535
257	186	535
258	186	534
259	187	534
260	188	533
261	188	532
262	189	531
263	190	530
264	190	529
265	191	528
266	191	526
267	192	525
268	193	524
269	193	523
270	194	522
271	194	521
272	195	520
273	196	519
274	196	518
275	197	517
276	197	516
277	198	515
278	199	515
279	200	514
280	200	513
281	201	512
282	202	511
283	202	510
284	203	509
285	203	508
286	204	507
287	205	506
288	205	506
289	206	505
290	207	504
291	207	503
292	208	502
293	208	501
294	209	500
295	210	499
296	210	498
297	211	497
298	211	496
299	212	496
300	213	495
301	214	494
302	214	494
303	215	493
304	216	492
305	216	491
306	217	491
307	218	490
308	218	489
309	219	488
310	220	488
311	221	487
312	221	486
313	222	485
314	222	484
315	223	484
316	224	483
317	225	483
318	226	482
319	226	481
320	227	481
321	228	480
322	229	480
323	229	479
324	230	478
325	231	477
326	231	476
327	232	476
328	233	475
329	233	475
330	234	474
331	235	473
332	235	472
333	236	471
334	237	470
335	237	469
336	238	469
337	239	468
338	239	467
339	240	466
340	241	465
341	241	465
342	242	464
343	243	463
344	243	462
345	244	461
346	245	461
347	245	460
348	246	459
349	246	458
350	247	457
351	248	457
352	248	456
353	249	455
354	250	455
355	251	454
356	252	454
357	252	453
358	253	453
359	254	452
360	255	452
